日付,曜,A,B,C,D,E,F,G,H,I,J,K,L,M
2022/12/7,水,,,2,,,22,,,20,,,21,
2022/12/8,木,11,11,11,1,1,1,22,2,,1,1,1,20
2022/12/9,金,1,1,1,11,11,11,1,1,1,2,21,,1
2022/12/10,土,,,,,,,,,,,,,
2022/12/11,日,,,,,,,,,,,,,
2022/12/12,月,21,2,,1,1,1,11,11,11,1,1,1,
2022/12/13,火,1,1,1,2,22,,1,1,1,11,11,11,25
2022/12/14,水,,,20,,,2,,,21,,,22,
2022/12/15,木,11,11,11,1,1,1,20,21,,1,1,1,23
2022/12/16,金,1,1,1,11,11,11,1,1,1,20,22,,1
2022/12/17,土,,,,,,,,,,,,,
2022/12/18,日,,,,,,,,,,,,,
2022/12/19,月,22,20,,1,1,1,11,11,11,1,1,1,
2022/12/20,火,1,1,1,21,20,,1,1,1,11,11,11,25
2022/12/21,水,,,21,,,20,,,22,,,2,
2022/12/22,木,11,11,11,1,1,1,2,22,,1,1,1,2
2022/12/23,金,1,1,1,11,11,11,1,1,1,21,2,,1
2022/12/24,土,,,,,,,,,,,,,
2022/12/25,日,,,,,,,,,,,,,
2022/12/26,月,2,21,,1,1,1,11,11,11,1,1,1,
2022/12/27,火,1,1,1,22,2,,1,1,1,11,11,11,25
2022/12/28,水,,,22,,,21,,,2,,,20,24
2022/12/29,木,,,,1,1,1,,,,1,1,1,
2022/12/30,金,1,1,1,,,,1,1,1,,,,1
2022/12/31,土,,,,,,,,,,,,,
2023/1/1,日,,,,,,,,,,,,,
2023/1/2,月,,,,,,,,,,,,,
2023/1/3,火,,,,,,,,,,,,,
2023/1/4,水,,,2,,,22,,,20,,,21,
2023/1/5,木,11,11,11,1,1,1,21,20,,1,1,1,23
2023/1/6,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/1/7,土,,,,,,,,,,,,,
2023/1/8,日,,,,,,,,,,,,,
2023/1/9,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/1/10,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/1/11,水,,,20,,,2,,,21,,,22,
2023/1/12,木,11,11,11,1,1,1,22,2,,1,1,1,20
2023/1/13,金,1,1,1,11,11,11,1,1,1,2,21,,1
